name,price,old_price,rating,reviews,link,page,discount_pct,discount_amount,discount_pct_calc,value_score,brand,price_range,discount_range
Generic Premium Luxury Mosquito Zapper 1 Electric Bug Fly Killer 4200V High Voltage 3 Prong Plug Indoor Outdoor Use Durable Abs Plastic 220V 240V Black,39515.0,104300.0,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/generic-premium-luxury-mosquito-zapper-1-electric-bug-fly-killer-4200v-high-voltage-3-prong-plug-indoor-outdoor-use-durable-abs-plastic-220v-240v-black-418079140.html,2,,64785.0,62.11,,Generic,₦25k-50k,
Food Processor And Yam Pounding Machine Century,73000.0,75000.0,4.1 out of 5,4.1 out of 5(49),https://www.jumia.com.ng/food-processor-and-yam-pounding-machine-century-mpg1240790.html,2,,2000.0,2.67,,Century,₦50k-100k,
Generic Usb Powered Electric Shock Mosquito Killer,3325.0,3500.0,2.7 out of 5,2.7 out of 5(3),https://www.jumia.com.ng/generic-usb-powered-electric-shock-mosquito-killer-418622995.html,2,,175.0,5.0,,Generic,₦0-10k,
Generic Usb Electric Mosquito Killer Lamp Powerful Mosquito Killer,17475.0,18433.0,3.5 out of 5,3.5 out of 5(2),https://www.jumia.com.ng/generic-usb-electric-mosquito-killer-lamp-powerful-mosquito-killer-344619980.html,2,,958.0,5.2,,Generic,₦10k-25k,
Legacy Yam Pounder Tiger Nut Grinder Any Dry Grinding 8.0L,44365.0,67000.0,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/legacy-yam-pounder-tiger-nut-grinder-any-dry-grinding-8.0l-122044993.html,2,,22635.0,33.78,,Legacy,₦25k-50k,
Nine 1.8L Electric Kettle Sh 02,12824.0,13499.0,4.1 out of 5,4.1 out of 5(48),https://www.jumia.com.ng/nine-1.8l-electric-kettle-sh-02-279926809.html,2,,675.0,5.0,,Nine,₦10k-25k,
Organic Cockroach Killer Buy 3 Get 1 Free Deadbug,12349.0,16999.0,3.7 out of 5,3.7 out of 5(7),https://www.jumia.com.ng/organic-cockroach-killer-buy-3-get-1-free-deadbug-mpg9209043.html,2,,4650.0,27.35,,Organic,₦10k-25k,
Binatone 1.5 Litres Blg 620 Blendergrinder With Stick Black,43900.0,86120.0,4.1 out of 5,4.1 out of 5(47),https://www.jumia.com.ng/binatone-1.5-litres-blg-620-blendergrinder-with-stick-black-16641656.html,2,,42220.0,49.02,,Binatone,₦25k-50k,
Generic Mini Compact Portable Car Vacuum Cleaner For Car And Home Usb Wireless Rechargeable,10666.0,14900.0,3.5 out of 5,3.5 out of 5(2),https://www.jumia.com.ng/generic-mini-compact-portable-car-vacuum-cleaner-for-car-and-home-usb-wireless-rechargeable-418458531.html,2,,4234.0,28.42,,Generic,₦10k-25k,
Generic 360 Uv Light Electric Mosquito Killer Lamp Rechargeable Shock Mosquito Zapper For Bedroom Camping,14597.0,19110.0,,,https://www.jumia.com.ng/generic-360-uv-light-electric-mosquito-killer-lamp-rechargeable-shock-mosquito-zapper-for-bedroom-camping-418842339.html,2,,4513.0,23.62,,Generic,₦10k-25k,
Pinnacle 8.5Litres Yam Pounderfood Processor 3200W,45000.0,67000.0,3.9 out of 5,3.9 out of 5(8),https://www.jumia.com.ng/pinnacle-8.5litres-yam-pounderfood-processor-3200w-180243207.html,2,,22000.0,32.84,,Pinnacle,₦25k-50k,
Generic Yam Pounder And Multifunctional Food Machine Big Bowl,45000.0,65000.0,4.8 out of 5,4.8 out of 5(10),https://www.jumia.com.ng/generic-yam-pounder-and-multifunctional-food-machine-big-bowl-249088709.html,2,,20000.0,30.77,,Generic,₦25k-50k,
Silver Crest 8Litres Silvercrest German Yam Pounderfood Processor 3500W,75000.0,95000.0,,,https://www.jumia.com.ng/silver-crest-8litres-silvercrest-german-yam-pounderfood-processor-3500w-212483415.html,2,,20000.0,21.05,,SILVER,₦50k-100k,
Gourmet Multifunctional Food Processoryam Pounder 3L,25999.0,30000.0,3.2 out of 5,3.2 out of 5(6),https://www.jumia.com.ng/gourmet-multifunctional-food-processoryam-pounder-3l-404317199.html,2,,4001.0,13.34,,Gourmet,₦25k-50k,
Generic Iron Teflon 2 Pieces,12350.0,13000.0,,,https://www.jumia.com.ng/generic-iron-teflon-2-pieces-418752227.html,2,,650.0,5.0,,Generic,₦10k-25k,
Generic 3 In 1 Type C Rechargeable Electric Blendermixerfood Choppergrinder Milky Color2304 Stainless Steel Tritan Bpa Free Beaters For Whipping Eggscreamgrind Spicesmixing Baby Foodportable Kitchen Helper For Baking Cooking Gifts For Wife,17640.0,58800.0,,,https://www.jumia.com.ng/generic-3-in-1-type-c-rechargeable-electric-blendermixerfood-choppergrinder-milky-color2304-stainless-steel-tritan-bpa-free-beaters-for-whipping-eggscreamgrind-spicesmixing-baby-foodportable-kitchen-helper-for-baking-cooking-gifts-for-wife-418865322.html,2,,41160.0,70.0,,Generic,₦10k-25k,
Deadbug Bedbug Magic Powder No Chemical All Natural 10G X 3,4559.0,6499.0,3.5 out of 5,3.5 out of 5(17),https://www.jumia.com.ng/deadbug-bedbug-magic-powder-no-chemical-all-natural-10g-x-3-216668048.html,2,,1940.0,29.85,,Generic,₦0-10k,
Fast Heating Electric Jug Kettle Generic,8550.0,15000.0,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/fast-heating-electric-jug-kettle-generic-mpg9589759.html,3,,6450.0,43.0,,Fast,₦0-10k,
Syinix 5L Stainless Electric Yam Pounding Machine Cooker Pounder,155999.0,160000.0,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/syinix-5l-stainless-electric-yam-pounding-machine-cooker-pounder-216264826.html,3,,4001.0,2.5,,Syinix,₦100k-200k,
Deadbug Organic No Chemical Bedbug Killer 2 Bottles,9024.0,11499.0,3.8 out of 5,3.8 out of 5(12),https://www.jumia.com.ng/deadbug-organic-no-chemical-bedbug-killer-2-bottles-264007385.html,3,,2475.0,21.52,,Generic,₦0-10k,
Two 2 Flexible Usb Led Lights For Computers Keyboards Generic,2185.0,10900.0,4.4 out of 5,4.4 out of 5(7),https://www.jumia.com.ng/two-2-flexible-usb-led-lights-for-computers-keyboards-generic-mpg9596932.html,3,,8715.0,79.95,,Generic,₦0-10k,
Generic Quality Rechargeable Electric Mosquito Killer Bat Swatter,11500.0,12599.0,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/generic-quality-rechargeable-electric-mosquito-killer-bat-swatter-262921684.html,3,,1099.0,8.72,,Generic,₦10k-25k,
